iter	Passed	Remaining
409	4353	7475
410	4364	7464
411	4374	7452
412	4384	7441
413	4392	7427
414	4402	7415
415	4411	7402
416	4421	7390
417	4430	7377
418	4440	7365
419	4450	7353
420	4459	7341
421	4470	7331
422	4481	7320
423	4492	7310
424	4503	7300
425	4512	7287
426	4521	7275
427	4531	7263
428	4542	7252
429	4552	7241
430	4562	7230
431	4572	7219
432	4583	7209
433	4593	7197
434	4603	7185
435	4614	7175
436	4625	7166
437	4637	7156
438	4647	7145
439	4657	7134
440	4668	7124
441	4679	7113
442	4690	7103
443	4700	7092
444	4711	7082
445	4720	7069
446	4730	7058
447	4740	7046
448	4750	7035
449	4760	7023
450	4769	7011
451	4778	6999
452	4788	6986
453	4797	6974
454	4807	6962
455	4817	6952
456	4828	6941
457	4838	6930
458	4849	6919
459	4859	6909
460	4870	6899
461	4880	6887
462	4888	6873
463	4898	6862
464	4908	6850
465	4918	6839
466	4928	6828
467	4938	6816
468	4947	6804
469	4957	6793
470	4966	6780
471	4972	6764
472	4982	6752
473	4991	6740
474	5002	6729
475	5012	6718
476	5021	6706
477	5031	6694
478	5041	6683
479	5051	6671
480	5061	6661
481	5071	6649
482	5081	6638
483	5091	6627
484	5101	6616
485	5111	6604
486	5120	6592
487	5130	6581
488	5141	6571
489	5152	6560
490	5162	6550
491	5172	6539
492	5182	6527
493	5191	6515
494	5201	6504
495	5211	6492
496	5221	6481
497	5230	6469
498	5239	6457
499	5248	6444
500	5257	6432
501	5267	6421
502	5277	6410
503	5286	6398
504	5296	6387
505	5305	6375
506	5313	6362
507	5322	6349
508	5331	6336
509	5341	6325
510	5350	6313
511	5360	6302
512	5369	6290
513	5378	6278
514	5388	6266
515	5397	6254
516	5407	6244
517	5417	6232
518	5426	6221
519	5436	6209
520	5445	6197
521	5454	6186
522	5464	6174
523	5472	6162
524	5482	6150
525	5492	6139
526	5501	6127
527	5510	6115
528	5519	6104
529	5528	6092
530	5538	6080
531	5547	6068
532	5556	6056
533	5566	6046
